Name,Start,End
TripYear,8,11
Quarter,12,12
TripID,13,14
TripType,15,16
OrigProv,20,21
DestCoun,22,26
DestProv,27,28
DestRegion,29,32
DestCMA,33,36
Distance,37,41
Duration,47,49
Reason,56,57
AgeGroup,58,59
Gender,60,60
IncomeGroup,61,61
AdultOnTrip,62,63
ChildOnTrip,64,65
MainTrans,68,69
EntryProv,70,71
EntryPort,72,76
CarrierOrig,77,81
ReturnTransMode,82,82
TravelPackage,83,83
PackageCostDom,137,142
PackageCostInter,143,148
SpendComTransCan,155,160
SpendLocTransCan,161,166
SpendRentalVehCan,167,172
SpendGasRepairCan,173,178
SpendAccomCan,179,184
SpendFBResCan,185,190
SpendFBStoCan,191,196
SpendRecCan,197,202
SpendEntCan,203,208
SpendAppeCan,209,214
SpendingOtherCan,215,220
FareTransIOCan,228,233
FareTransBetCountries,234,239
SpendComTrans,240,245
SpendRentalVeh,246,251
SpendGasRepair,252,257
SpendAccom,258,263
SpendFBRes,264,269
SpendFBSto,270,275
SpendRec,276,281
SpendEnt,282,287
SpendAppe,288,293
SpendingOther,294,299
DurationMainDes,307,307
NumbCityStayCan,308,309
MultiCountStay,310,310
NumbCountStay,311,312
NumbStatesStay,313,314
NightOutsideCan,315,315
TotalSpendCan,221,227
TotalSpendOut,300,306
ActVisitF,334,334
ActShopping,335,335
ActSightseeing,336,336
ActMuseum,337,337
ActHisSite,338,338
ActZoo,339,339
ActSport,340,340
ActFestival,341,341
ActPerformance,342,342
ActCasino,343,343
ActThemePark,344,344
ActAboEvent,345,345
ActMovie,346,346
ActDineout,347,347
ActWildlifeView,348,348
ActNationalPark,349,349
ActMedical,350,350
ActBusiness,351,351
ActAllTerrainVehical,352,352
ActBoating,353,353
ActCanoeing,354,354
ActCamping,355,355
ActHiking,356,356
ActFishing,357,357
ActBeach,358,358
ActHunting,359,359
ActGolfing,360,360
ActCycling,361,361
ActSnowmobiling,362,362
ActSkiingDownhill,363,363
ActSkiingCrossCountry,364,364
ActPlaySport,365,365
ActOther,366,366
ActNone,367,367
PersonTripWeight,368,379
TripWeight,380,391
